Date,Website,Title,URL
12/3/2025,Droid Life,Watch Samsung Build and Stress Test the Galaxy Z TriFold,https://www.droid-life.com/2025/12/03/watch-samsung-build-and-stress-test-the-galaxy-z-trifold/
12/2/2025,samsung.com,Introducing Galaxy Z TriFold: The Shape of What's Next in Mobile Innovation,https://news.samsung.com/us/samsung-introducing-galaxy-z-trifold-shape-whats-next-mobile-innovation/
12/2/2025,CNBC,Samsung launches its first multi-folding phone as competition from Chinese brands intensifies,https://www.cnbc.com/2025/12/02/samsung-galaxy-z-trifold-first-multi-folding-phone-smartphone-competition-chinese-brands-huawei-apple.html
12/2/2025,The Wall Street Journal,Samsung's Next Salvo Against Apple: A Triple-Folding Smartphone,https://www.wsj.com/business/telecom/samsungs-next-salvo-against-apple-a-triple-folding-smartphone-20bb7e79
12/4/2025,9to5Google,"This is how Google Fi's new Web Calls and RCS system works, rolling out now",https://9to5google.com/2025/12/03/google-fi-web-calling-rcs/
12/4/2025,Android Authority,"Google Fi's big RCS upgrade lands at last, with a small catch",https://www.androidauthority.com/google-fi-web-rcs-support-3621999/
12/4/2025,Android Police,Google Fi for web finally gets its long-awaited overhaul,https://www.androidpolice.com/google-fi-web-calls-and-rcs-refresh/
12/4/2025,findarticles.com,Google Fi Solves RCS Web Problem With Split Portals for Calls and RCS,https://www.findarticles.com/google-fi-solves-rcs-web-problem-with-split-portals-for-calls-and-rcs/
12/3/2025,9to5Mac,New low-cost iPhone 17 model now rumored to get two design changes,https://9to5mac.com/2025/12/03/new-low-cost-iphone-17-model-now-rumored-to-get-two-design-changes/
12/3/2025,MacRumors,iPhone 17e to Use Same OLED Panel But Feature Slimmer Bezels,https://www.macrumors.com/2025/12/03/iphone-17e-same-oled-panel-slimmer-bezels/
12/4/2025,GSMArena.com,iPhone 17e display details leak - GSMArena.com news,https://www.gsmarena.com/iphone_17e_display_details_leak-news-70551.php
12/4/2025,매일경제,Will the Notion That iPhones Are Always Expensive Be Broken? The Strategy Behind the Shift to the 17e,https://www.mk.co.kr/en/business/11483996
12/3/2025,PhoneArena,Check out the first droolworthy pictures of the upcoming Motorola Edge 70 Ultra flagship!,https://www.phonearena.com/news/motorola-edge-70-ultra-flagship-first-leaked-images_id176311
12/3/2025,TechRadar,'Qualcomm knows it has to fight back': OnePlus exec explains why Apple is (partially) responsible for the new Snapdragon 8 Gen 5 chipset,https://www.techradar.com/phones/oneplus-phones/qualcomm-knows-it-has-to-fight-back-oneplus-exec-explains-why-apple-is-partially-responsible-for-the-new-snapdragon-8-gen-5-chipset
12/2/2025,Android Headlines,Exclusive: Official Motorola Edge 70 Ultra Render,https://www.androidheadlines.com/motorola-edge-70-ultra
11/6/2025,GSMArena.com,Qualcomm unveils Snapdragon 8 Gen 5 as its flagship-killer chip - GSMArena.com news,https://www.gsmarena.com/qualcomm_unveils_snapdragon_8_gen_5_as_its_flagshipkiller_chip-news-70444.php
12/3/2025,TechCrunch,Meta poaches Apple design exec Alan Dye to lead new creative studio in Reality Labs,https://techcrunch.com/2025/12/03/meta-poaches-apple-design-exec-alan-dye-to-lead-new-creative-studio-in-reality-labs/
12/3/2025,CNBC,Design executive behind 'Liquid Glass' is leaving Apple,https://www.cnbc.com/2025/12/03/liquid-glass-alan-dye-leaving-apple.html
12/3/2025,Bloomberg.com,Apple Design Executive Alan Dye Poached by Meta in Major Coup,https://www.bloomberg.com/news/articles/2025-12-03/apple-design-executive-alan-dye-poached-by-meta-in-major-coup
12/4/2025,9to5Mac,Gruber: Apple employees 'giddy' about Alan Dye's departure,https://9to5mac.com/2025/12/04/gruber-apple-employees-giddy-about-alan-dyes-departure/
12/4/2025,Sony Interactive Entertainment,SIE Partners with Bad Robot Games to Produce and Publish the Studio's First Internally Developed Game,https://sonyinteractive.com/en/press-releases/2025/sie-partners-with-bad-robot-games/
12/4/2025,IGN,PlayStation Announces Partnership With J.J. Abrams' Bad Robot Games To Publish 4-Player Co-Op Shooter From Valve's Former Left 4 Dead Designer,https://www.ign.com/articles/playstation-announces-partnership-with-jj-abrams-bad-robot-games-to-publish-4-player-co-op-shooter-from-valves-former-left-4-dead-designer
12/4/2025,GameSpot,New Four-Player Co-Op Shooter From Left 4 Dead Creator Coming To PS5 And PC,https://www.gamespot.com/articles/new-four-player-co-op-shooter-from-left-4-dead-creator-coming-to-ps5-and-pc/1100-6536695/
